(Declared Winner)","NO
(Declared Loser)",UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,Over Votes,Under Votes,Total,"Error Bound (up) - 
Max. possible relative overstatement for
NO (Loser)",Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,"Selection - 
Batch picked for audit",Times p Drawn - With Replacement
Batch by Type (p),Winning Candidate,Losing Candidate,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Over Votes,Under Votes,Total,Error Bound (up) - Max. possible relative overstatement - Losing Candidate,Error Bound (up) - Max. possible relative overstatement - Candidate 3,Error Bound (up) - Max. possible relative overstatement - Candidate 4,Error Bound (up) - Max. possible relative overstatement - Candidate 5,Error Bound (up) - Max. possible relative overstatement - Candidate 6,Error Bound (up) - Max. possible relative overstatement - Candidate 7,Error Bound (up) - Max. possible relative overstatement - Candidate 8,Error Bound (up) - Max. possible relative overstatement - Candidate 9,Error Bound (up) - Max. possible relative overstatement - Candidate 10,Error Bound (up) - Max. possible relative overstatement - Candidate 11,Error Bound (up) - Max. possible relative overstatement - Candidate 12,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,Selection - Batch picked for audit,Times p Drawn - With Replacement
0101 CIN 1-A   (ED),81,69,,,,,,,,,,,0,3,153,0.001910695,0,0,0,0,0,0,0,0,0,0,0.001910695,0.000439874, 0.25 ,24470 - 24513,24470.08454,42.98744891,24513.07198,,0
0102 CIN 1-B   (ED),459,210,,,,,,,,,,,0,6,675,0.010699893,0,0,0,0,0,0,0,0,0,0,0.010699893,0.002463297, 0.25 ,24514 - 24759,24514.07198,245.3297139,24759.4017,,0
0103 CIN 1-C   (ED),352,98,,,,,,,,,,,0,3,453,0.00818704,0,0,0,0,0,0,0,0,0,0,0.00818704,0.001884796, 0.25 ,24760 - 24948,24760.4017,187.4795538,24947.88125,,0
0104 CIN 1-D   (ED),220,77,,,,,,,,,,,0,2,299,0.005118347,0,0,0,0,0,0,0,0,0,0,0.005118347,0.00117833, 0.25 ,24949 - 25066,24948.88125,116.833045,25065.7143,,0
0105 CIN 1-E   (ED),355,125,,,,,,,,,,,0,2,482,0.00824494,0,0,0,0,0,0,0,0,0,0,0.00824494,0.001898125, 0.25 ,25067 - 25256,25066.7143,188.8125068,25255.5268,,0
0106 CIN 1-F   (ED),386,182,,,,,,,,,,,1,6,575,0.009020798,0,0,0,0,0,0,0,0,0,0,0.009020798,0.002076741, 0.25 ,25257 - 25463,25256.5268,206.674077,25463.20088,,0
0107 CIN 1-G   (ED),305,140,,,,,,,,,,,0,0,445,0.007063782,0,0,0,0,0,0,0,0,0,0,0.007063782,0.001626203, 0.26 ,25464 - 25626,25464.20088,161.6202657,25625.82115,,0
0108 CIN 1-H   (ED),197,91,,,,,,,,,,,0,3,291,0.004597249,0,0,0,0,0,0,0,0,0,0,0.004597249,0.001058365, 0.26 ,25627 - 25732,25626.82115,104.836468,25731.65762,,0
0109 CIN 1-I   (ED),377,199,,,,,,,,,,,0,2,578,0.008754458,0,0,0,0,0,0,0,0,0,0,0.008754458,0.002015425, 0.26 ,25733 - 25933,25732.65762,200.5424932,25933.20011,,0
0110 CIN 1-J   (ED),376,135,,,,,,,,,,,0,7,518,0.008789198,0,0,0,0,0,0,0,0,0,0,0.008789198,0.002023423, 0.26 ,25934 - 26136,25934.20011,201.342265,26135.54237,,0
0111 CIN 1-K   (ED),302,112,,,,,,,,,,,0,5,419,0.007052203,0,0,0,0,0,0,0,0,0,0,0.007052203,0.001623537, 0.26 ,26137 - 26298,26136.54237,161.3536751,26297.89605,,0
0112 CIN 1-L   (ED),211,128,,,,,,,,,,,0,4,343,0.004933068,0,0,0,0,0,0,0,0,0,0,0.004933068,0.001135676, 0.26 ,26299 - 26411,26298.89605,112.5675954,26411.46364,,0
0113 CIN 1-M   (ED),311,113,,,,,,,,,,,0,2,426,0.007225902,0,0,0,0,0,0,0,0,0,0,0.007225902,0.001663525, 0.27 ,26412 - 26578,26412.46364,165.3525341,26577.81618,,0
0201 CIN 2-A   (ED),277,66,,,,,,,,,,,0,6,349,0.006484784,0,0,0,0,0,0,0,0,0,0,0.006484784,0.001492907, 0.27 ,26579 - 26727,26578.81618,148.2907357,26727.10691,,0
0202 CIN 2-B   (ED),388,81,,,,,,,,,,,0,10,479,0.009101857,0,0,0,0,0,0,0,0,0,0,0.009101857,0.002095402, 0.27 ,26728 - 26937,26728.10691,208.5402112,26936.64712,,0
0203 CIN 2-C   (ED),250,55,,,,,,,,,,,0,2,307,0.005813146,0,0,0,0,0,0,0,0,0,0,0.005813146,0.001338285, 0.27 ,26938 - 27070,26937.64712,132.8284809,27070.47561,,0
0204 CIN 2-D   (ED),373,99,,,,,,,,,,,0,2,474,0.008661819,0,0,0,0,0,0,0,0,0,0,0.008661819,0.001994098, 0.27 ,27071 - 27270,27071.47561,198.4097684,27269.88537,,0
0205 CIN 2-E   (ED),310,113,,,,,,,,,,,0,2,425,0.007202742,0,0,0,0,0,0,0,0,0,0,0.007202742,0.001658194, 0.27 ,27271 - 27436,27270.88537,164.8193529,27435.70473,,0
0206 CIN 2-F   (ED),441,75,,,,,,,,,,,0,3,519,0.010248275,0,0,0,0,0,0,0,0,0,0,0.010248275,0.002359327, 0.28 ,27437 - 27672,27436.70473,234.9326805,27671.63741,,0
0207 CIN 2-G   (ED),241,106,,,,,,,,,,,0,3,350,0.005616286,0,0,0,0,0,0,0,0,0,0,0.005616286,0.001292964, 0.28 ,27673 - 27801,27672.63741,128.2964407,27800.93385,,0
0208 CIN 2-H   (ED),265,56,,,,,,,,,,,0,1,322,0.006148965,0,0,0,0,0,0,0,0,0,0,0.006148965,0.001415596, 0.28 ,27802 - 27942,27801.93385,140.5596083,27942.49346,,0
0209 CIN 2-I   (ED),361,89,,,,,,,,,,,0,4,454,0.008407059,0,0,0,0,0,0,0,0,0,0,0.008407059,0.001935448, 0.28 ,27943 - 28136,27943.49346,192.5447752,28136.03823,,0
0210 CIN 2-J   (ED),433,114,,,,,,,,,,,0,3,550,0.010062995,0,0,0,0,0,0,0,0,0,0,0.010062995,0.002316672, 0.28 ,28137 - 28368,28137.03823,230.667231,28367.70546,,0
0211 CIN 2-K   (ED),395,123,,,,,,,,,,,0,8,526,0.009240817,0,0,0,0,0,0,0,0,0,0,0.009240817,0.002127393, 0.29 ,28369 - 28580,28368.70546,211.7392984,28580.44476,,0
0301 CIN 3-A   (ED),303,35,,,,,,,,,,,0,5,343,0.007075362,0,0,0,0,0,0,0,0,0,0,0.007075362,0.001628869, 0.29 ,28581 - 28743,28581.44476,161.8868563,28743.33162,,0
0302 CIN 3-B   (ED),258,56,,,,,,,,,,,0,5,319,0.006033165,0,0,0,0,0,0,0,0,0,0,0.006033165,0.001388937, 0.29 ,28744 - 28882,28744.33162,137.8937023,28882.22532,,0
0303 CIN 3-C   (ED),237,66,,,,,,,,,,,0,2,305,0.005512066,0,0,0,0,0,0,0,0,0,0,0.005512066,0.001268971, 0.29 ,28883 - 29009,28883.22532,125.8971254,29009.12245,,0
0304 CIN 3-D   (ED),335,44,,,,,,,,,,,0,6,385,0.007828061,0,0,0,0,0,0,0,0,0,0,0.007828061,0.001802152, 0.29 ,29010 - 29189,29010.12245,179.2152453,29189.33769,,0
0305 CIN 3-E   (ED),309,43,,,,,,,,,,,0,3,355,0.007191162,0,0,0,0,0,0,0,0,0,0,0.007191162,0.001655528, 0.29 ,29190 - 29355,29190.33769,164.5527623,29354.89045,,0
0401 CIN 4-A   (ED),323,100,,,,,,,,,,,0,5,428,0.007538561,0,0,0,0,0,0,0,0,0,0,0.007538561,0.001735505, 0.30 ,29356 - 29528,29355.89045,172.5504803,29528.44093,,0
0402 CIN 4-B   (ED),333,103,,,,,,,,,,,0,4,440,0.007758581,0,0,0,0,0,0,0,0,0,0,0.007758581,0.001786157, 0.30 ,29529 - 29707,29529.44093,177.6157017,29707.05663,,0
0403 CIN 4-C   (ED),248,59,,,,,,,,,,,0,3,310,0.005778406,0,0,0,0,0,0,0,0,0,0,0.005778406,0.001330287, 0.30 ,29708 - 29840,29708.05663,132.0287091,29840.08534,,0
0404 CIN 4-D   (ED),415,122,,,,,,,,,,,0,6,543,0.009680856,0,0,0,0,0,0,0,0,0,0,0.009680856,0.002228697, 0.30 ,29841 - 30063,29841.08534,221.8697412,30062.95508,,0
0405 CIN 4-E   (ED),370,126,,,,,,,,,,,0,5,501,0.008627079,0,0,0,0,0,0,0,0,0,0,0.008627079,0.0019861, 0.30 ,30064 - 30262,30063.95508,197.6099966,30261.56508,,0
0406 CIN 4-F   (ED),304,109,,,,,,,,,,,0,2,415,0.007063782,0,0,0,0,0,0,0,0,0,0,0.007063782,0.001626203, 0.30 ,30263 - 30424,30262.56508,161.6202657,30424.18535,,0
0407 CIN 4-G   (ED),346,194,,,,,,,,,,,0,9,549,0.00811756,0,0,0,0,0,0,0,0,0,0,0.00811756,0.0018688, 0.31 ,30425 - 30611,30425.18535,185.8800102,30611.06536,,0
0408 CIN 4-H   (ED),414,140,,,,,,,,,,,0,7,561,0.009669276,0,0,0,0,0,0,0,0,0,0,0.009669276,0.002226032, 0.31 ,30612 - 30834,30612.06536,221.6031506,30833.66851,,0
0501 CIN 5-A   (ED),322,123,,,,,,,,,,,0,4,449,0.007503821,0,0,0,0,0,0,0,0,0,0,0.007503821,0.001727507, 0.31 ,30835 - 31006,30834.66851,171.7507085,31006.41922,,0
0502 CIN 5-B   (ED),375,138,,,,,,,,,,,0,10,523,0.008800778,0,0,0,0,0,0,0,0,0,0,0.008800778,0.002026089, 0.31 ,31007 - 31209,31007.41922,201.6088556,31209.02807,,0
0503 CIN 5-C   (ED),215,71,,,,,,,,,,,0,1,287,0.004990968,0,0,0,0,0,0,0,0,0,0,0.004990968,0.001149005, 0.31 ,31210 - 31324,31210.02807,113.9005484,31323.92862,,0
0504 CIN 5-D   (ED),434,142,,,,,,,,,,,0,7,583,0.010132475,0,0,0,0,0,0,0,0,0,0,0.010132475,0.002332668, 0.32 ,31325 - 31557,31324.92862,232.2667745,31557.19539,,0
0505 CIN 5-E   (ED),482,157,,,,,,,,,,,0,5,644,0.011220992,0,0,0,0,0,0,0,0,0,0,0.011220992,0.002583263, 0.32 ,31558 - 31816,31558.19539,257.3262909,31815.52169,,0
0506 CIN 5-F   (ED),274,78,,,,,,,,,,,0,2,354,0.006368984,0,0,0,0,0,0,0,0,0,0,0.006368984,0.001466248, 0.32 ,31817 - 31962,31816.52169,145.6248297,31962.14652,,0
0507 CIN 5-G   (ED),391,137,,,,,,,,,,,0,5,533,0.009113437,0,0,0,0,0,0,0,0,0,0,0.009113437,0.002098068, 0.32 ,31963 - 32172,31963.14652,208.8068018,32171.95332,,0
0508 CIN 5-H   (ED),261,43,,,,,,,,,,,0,0,304,0.006044745,0,0,0,0,0,0,0,0,0,0,0.006044745,0.001391603, 0.32 ,32173 - 32311,32172.95332,138.1602929,32311.11361,,0
0509 CIN 5-I   (ED),337,193,,,,,,,,,,,0,3,533,0.007839641,0,0,0,0,0,0,0,0,0,0,0.007839641,0.001804818, 0.32 ,32312 - 32492,32312.11361,179.4818358,32491.59545,,0
0601 CIN 6-A   (ED),492,65,,,,,,,,,,,2,6,565,0.011487332,0,0,0,0,0,0,0,0,0,0,0.011487332,0.002644579, 0.33 ,32493 - 32756,32492.59545,263.4578747,32756.05332,,0
0602 CIN 6-B   (ED),258,45,,,,,,,,,,,0,3,306,0.006010005,0,0,0,0,0,0,0,0,0,0,0.006010005,0.001383605, 0.33 ,32757 - 32894,32757.05332,137.3605211,32894.41384,,0
0603 CIN 6-C   (ED),384,40,,,,,,,,,,,0,2,426,0.008916578,0,0,0,0,0,0,0,0,0,0,0.008916578,0.002052748, 0.33 ,32895 - 33100,32895.41384,204.2747616,33099.6886,,0
0604 CIN 6-D   (ED),444,29,,,,,,,,,,,0,6,479,0.010352494,0,0,0,0,0,0,0,0,0,0,0.010352494,0.00238332, 0.33 ,33101 - 33338,33100.6886,237.3319959,33338.0206,,0
0605 CIN 6-E   (ED),306,81,,,,,,,,,,,0,2,389,0.007110102,0,0,0,0,0,0,0,0,0,0,0.007110102,0.001636866, 0.34 ,33339 - 33502,33339.0206,162.6866281,33501.70723,,0
0701 CIN 7-A   (ED),306,54,,,,,,,,,,,0,5,365,0.007144842,0,0,0,0,0,0,0,0,0,0,0.007144842,0.001644864, 0.34 ,33503 - 33666,33502.70723,163.4863999,33666.19363,,0
0702 CIN 7-B   (ED),93,14,,,,,,,,,,,0,2,109,0.002177035,0,0,0,0,0,0,0,0,0,0,0.002177035,0.00050119, 0.34 ,33667 - 33716,33667.19363,49.1190327,33716.31266,,0
0703 CIN 7-C   (ED),285,28,,,,,,,,,,,0,4,317,0.006646904,0,0,0,0,0,0,0,0,0,0,0.006646904,0.00153023, 0.34 ,33717 - 33869,33717.31266,152.0230041,33869.33566,,0
0704 CIN 7-D   (ED),223,47,,,,,,,,,,,0,4,274,0.005210987,0,0,0,0,0,0,0,0,0,0,0.005210987,0.001199658, 0.34 ,33870 - 33989,33870.33566,118.9657698,33989.30143,,0
0705 CIN 7-E   (ED),130,27,,,,,,,,,,,0,2,159,0.003033952,0,0,0,0,0,0,0,0,0,0,0.003033952,0.000698467, 0.34 ,33990 - 34059,33990.30143,68.84673706,34059.14817,,0
0706 CIN 7-F   (ED),139,25,,,,,,,,,,,0,3,167,0.003253972,0,0,0,0,0,0,0,0,0,0,0.003253972,0.00074912, 0.34 ,34060 - 34134,34060.14817,73.91195845,34134.06013,,0
0707 CIN 7-G   (ED),246,39,,,,,,,,,,,0,4,289,0.005743666,0,0,0,0,0,0,0,0,0,0,0.005743666,0.001322289, 0.34 ,34135 - 34266,34135.06013,131.2289373,34266.28907,,0
0708 CIN 7-H   (ED),227,27,,,,,,,,,,,1,2,257,0.005292047,0,0,0,0,0,0,0,0,0,0,0.005292047,0.001218319, 0.34 ,34267 - 34388,34267.28907,120.831904,34388.12097,,0
0709 CIN 7-I   (ED),251,45,,,,,,,,,,,0,3,299,0.005847885,0,0,0,0,0,0,0,0,0,0,0.005847885,0.001346283, 0.35 ,34389 - 34523,34389.12097,133.6282527,34522.74922,,0
0710 CIN 7-J   (ED),61,15,,,,,,,,,,,0,1,77,0.001424336,0,0,0,0,0,0,0,0,0,0,0.001424336,0.000327906, 0.35 ,34524 - 34556,34523.74922,31.79064374,34555.53987,,0
0711 CIN 7-K   (ED),235,48,,,,,,,,,,,0,4,287,0.005488906,0,0,0,0,0,0,0,0,0,0,0.005488906,0.001263639, 0.35 ,34557 - 34682,34556.53987,125.3639442,34681.90381,,0
0801 CIN 8-A   (ED),286,50,,,,,,,,,,,0,3,339,0.006658483,0,0,0,0,0,0,0,0,0,0,0.006658483,0.001532896, 0.35 ,34683 - 34835,34682.90381,152.2895947,34835.19341,,0
0802 CIN 8-B   (ED),387,65,,,,,,,,,,,0,4,456,0.009009218,0,0,0,0,0,0,0,0,0,0,0.009009218,0.002074075, 0.35 ,34836 - 35043,34836.19341,206.4074864,35042.60089,,0
0803 CIN 8-C   (ED),389,140,,,,,,,,,,,0,3,532,0.009043958,0,0,0,0,0,0,0,0,0,0,0.009043958,0.002082073, 0.35 ,35044 - 35251,35043.60089,207.2072582,35250.80815,,0
0804 CIN 8-D   (ED),347,28,,,,,,,,,,,0,3,378,0.00807124,0,0,0,0,0,0,0,0,0,0,0.00807124,0.001858136, 0.35 ,35252 - 35437,35251.80815,184.8136478,35436.6218,,0
0901 CIN 9-A   (ED),119,12,,,,,,,,,,,0,5,136,0.002813933,0,0,0,0,0,0,0,0,0,0,0.002813933,0.000647815, 0.36 ,35438 - 35501,35437.6218,63.78151567,35501.40331,,0
0902 CIN 9-B   (ED),466,77,,,,,,,,,,,0,5,548,0.010850433,0,0,0,0,0,0,0,0,0,0,0.010850433,0.002497954, 0.36 ,35502 - 35751,35502.40331,248.7953917,35751.19871,,0
0903 CIN 9-C   (ED),246,38,,,,,,,,,,,0,3,287,0.005732086,0,0,0,0,0,0,0,0,0,0,0.005732086,0.001319623, 0.36 ,35752 - 35883,35752.19871,130.9623467,35883.16105,,0
0904 CIN 9-D   (ED),162,22,,,,,,,,,,,0,2,186,0.003775071,0,0,0,0,0,0,0,0,0,0,0.003775071,0.000869085, 0.36 ,35884 - 35970,35884.16105,85.90853543,35970.06959,6,1
1001 CIN 10-A   (ED),348,144,,,,,,,,,,,0,2,494,0.00808282,0,0,0,0,0,0,0,0,0,0,0.00808282,0.001860802, 0.36 ,35971 - 36156,35971.06959,185.0802384,36156.14983,,0
1002 CIN 10-B   (ED),211,31,,,,,,,,,,,0,5,247,0.004944648,0,0,0,0,0,0,0,0,0,0,0.004944648,0.001138342, 0.36 ,36157 - 36270,36157.14983,112.834186,36269.98401,,0
1003 CIN 10-C   (ED),308,39,,,,,,,,,,,0,2,349,0.007156422,0,0,0,0,0,0,0,0,0,0,0.007156422,0.00164753, 0.36 ,36271 - 36435,36270.98401,163.7529905,36434.737,,0
1101 CIN 11-A   (ED),284,56,,,,,,,,,,,0,3,343,0.006612164,0,0,0,0,0,0,0,0,0,0,0.006612164,0.001522232, 0.37 ,36436 - 36587,36435.737,151.2232323,36586.96024,,0
1102 CIN 11-B   (ED),218,23,,,,,,,,,,,0,3,244,0.005083607,0,0,0,0,0,0,0,0,0,0,0.005083607,0.001170333, 0.37 ,36588 - 36704,36587.96024,116.0332732,36703.99351,,0
1103 CIN 11-C   (ED),156,20,,,,,,,,,,,0,1,177,0.003624531,0,0,0,0,0,0,0,0,0,0,0.003624531,0.000834429, 0.37 ,36705 - 36787,36704.99351,82.44285764,36787.43637,,0
1104 CIN 11-D   (ED),229,20,,,,,,,,,,,0,0,249,0.005303627,0,0,0,0,0,0,0,0,0,0,0.005303627,0.001220985, 0.37 ,36788 - 36910,36788.43637,121.0984946,36909.53486,,0
1201 CIN 12-A   (ED),137,25,,,,,,,,,,,0,1,163,0.003184492,0,0,0,0,0,0,0,0,0,0,0.003184492,0.000733124, 0.37 ,36911 - 36983,36910.53486,72.31241486,36982.84728,,0
1202 CIN 12-B   (ED),39,5,,,,,,,,,,,0,0,44,0.000903238,0,0,0,0,0,0,0,0,0,0,0.000903238,0.000207941, 0.37 ,36984 - 37004,36983.84728,19.79406676,37003.64134,,0
1203 CIN 12-C   (ED),198,20,,,,,,,,,,,0,0,218,0.004585669,0,0,0,0,0,0,0,0,0,0,0.004585669,0.001055699, 0.37 ,37005 - 37109,37004.64134,104.5698774,37109.21122,,0
1204 CIN 12-D   (ED),206,26,,,,,,,,,,,0,3,235,0.004805688,0,0,0,0,0,0,0,0,0,0,0.004805688,0.001106351, 0.37 ,37110 - 37220,37110.21122,109.6350988,37219.84632,,0
1205 CIN 12-E   (ED),186,31,,,,,,,,,,,0,2,219,0.004330909,0,0,0,0,0,0,0,0,0,0,0.004330909,0.000997049, 0.37 ,37221 - 37320,37220.84632,98.70488421,37319.5512,,0
1301 CIN 13-A   (ED),149,16,,,,,,,,,,,0,5,170,0.003508731,0,0,0,0,0,0,0,0,0,0,0.003508731,0.00080777, 0.37 ,37321 - 37400,37320.5512,79.77695164,37400.32815,,0
1302 CIN 13-B   (ED),234,34,,,,,,,,,,,0,3,271,0.005454166,0,0,0,0,0,0,0,0,0,0,0.005454166,0.001255642, 0.38 ,37401 - 37526,37401.32815,124.5641724,37525.89233,,0
1303 CIN 13-C   (ED),136,26,,,,,,,,,,,0,5,167,0.003207652,0,0,0,0,0,0,0,0,0,0,0.003207652,0.000738456, 0.38 ,37527 - 37600,37526.89233,72.84559606,37599.73792,,0
1304 CIN 13-D   (ED),210,27,,,,,,,,,,,1,3,241,0.004909908,0,0,0,0,0,0,0,0,0,0,0.004909908,0.001130344, 0.38 ,37601 - 37713,37600.73792,112.0344142,37712.77234,,0
1305 CIN 13-E   (ED),316,60,,,,,,,,,,,0,3,379,0.007353282,0,0,0,0,0,0,0,0,0,0,0.007353282,0.00169285, 0.38 ,37714 - 37882,37713.77234,168.2850307,37882.05737,,0
1306 CIN 13-F   (ED),275,30,,,,,,,,,,,0,3,308,0.006403724,0,0,0,0,0,0,0,0,0,0,0.006403724,0.001474246, 0.38 ,37883 - 38029,37883.05737,146.4246015,38029.48197,,0
1307 CIN 13-G   (ED),167,27,,,,,,,,,,,0,5,199,0.00392561,0,0,0,0,0,0,0,0,0,0,0.00392561,0.000903742, 0.38 ,38030 - 38120,38030.48197,89.37421322,38119.85618,,0
1308 CIN 13-H   (ED),36,19,,,,,,,,,,,0,2,57,0.000856918,0,0,0,0,0,0,0,0,0,0,0.000856918,0.000197277, 0.38 ,38121 - 38140,38120.85618,18.72770436,38139.58389,,0
1401 CIN 14-A   (ED),400,80,,,,,,,,,,,0,0,480,0.009263977,0,0,0,0,0,0,0,0,0,0,0.009263977,0.002132725, 0.38 ,38141 - 38353,38140.58389,212.2724796,38352.85637,,0
1402 CIN 14-B   (ED),357,50,,,,,,,,,,,0,4,411,0.008314419,0,0,0,0,0,0,0,0,0,0,0.008314419,0.001914121, 0.39 ,38354 - 38544,38353.85637,190.4120504,38544.26842,,0
1403 CIN 14-C   (ED),192,51,,,,,,,,,,,0,2,245,0.004469869,0,0,0,0,0,0,0,0,0,0,0.004469869,0.00102904, 0.39 ,38545 - 38647,38545.26842,101.9039714,38647.17239,,0
1404 CIN 14-D   (ED),423,81,,,,,,,,,,,0,5,509,0.009854556,0,0,0,0,0,0,0,0,0,0,0.009854556,0.002268686, 0.39 ,38648 - 38874,38648.17239,225.8686002,38874.04099,,0
1405 CIN 14-E   (ED),371,51,,,,,,,,,,,0,4,426,0.008638659,0,0,0,0,0,0,0,0,0,0,0.008638659,0.001988766, 0.39 ,38875 - 39073,38875.04099,197.8765872,39072.91758,,0
1406 CIN 14-F   (ED),374,60,,,,,,,,,,,0,4,438,0.008708138,0,0,0,0,0,0,0,0,0,0,0.008708138,0.002004761, 0.39 ,39074 - 39273,39073.91758,199.4761308,39273.39371,,0
1407 CIN 14-G   (ED),404,100,,,,,,,,,,,0,6,510,0.009426097,0,0,0,0,0,0,0,0,0,0,0.009426097,0.002170047, 0.39 ,39274 - 39490,39274.39371,216.004748,39490.39845,,0
1408 CIN 14-H   (ED),384,78,,,,,,,,,,,0,6,468,0.008962898,0,0,0,0,0,0,0,0,0,0,0.008962898,0.002063411, 0.40 ,39491 - 39697,39491.39845,205.341124,39696.73958,,0
1409 CIN 14-I   (ED),356,66,,,,,,,,,,,0,2,424,0.008268099,0,0,0,0,0,0,0,0,0,0,0.008268099,0.001903457, 0.40 ,39698 - 39887,39697.73958,189.345688,39887.08527,,0
1501 CIN 15-A   (ED),494,37,,,,,,,,,,,1,1,533,0.011464172,0,0,0,0,0,0,0,0,0,0,0.011464172,0.002639247, 0.40 ,39888 - 40151,39888.08527,262.9246935,40151.00996,,0
1502 CIN 15-B   (ED),439,67,,,,,,,,,,,0,1,507,0.010178795,0,0,0,0,0,0,0,0,0,0,0.010178795,0.002343331, 0.40 ,40152 - 40385,40152.00996,233.3331369,40385.3431,,0
1503 CIN 15-C   (ED),171,18,,,,,,,,,,,0,7,196,0.00404141,0,0,0,0,0,0,0,0,0,0,0.00404141,0.000930401, 0.40 ,40386 - 40478,40386.3431,92.04011922,40478.38322,,0
1504 CIN 15-D   (ED),188,26,,,,,,,,,,,0,5,219,0.004411969,0,0,0,0,0,0,0,0,0,0,0.004411969,0.00101571, 0.41 ,40479 - 40580,40479.38322,100.5710184,40579.95423,,0
1505 CIN 15-E   (ED),458,50,,,,,,,,,,,0,1,509,0.010618834,0,0,0,0,0,0,0,0,0,0,0.010618834,0.002444636, 0.41 ,40581 - 40824,40580.95423,243.4635797,40824.41781,,0
1506 CIN 15-F   (ED),281,21,,,,,,,,,,,0,0,302,0.006507944,0,0,0,0,0,0,0,0,0,0,0.006507944,0.001498239, 0.41 ,40825 - 40974,40825.41781,148.8239169,40974.24173,,0
1507 CIN 15-G   (ED),198,25,,,,,,,,,,,0,1,224,0.004597249,0,0,0,0,0,0,0,0,0,0,0.004597249,0.001058365, 0.41 ,40975 - 41080,40975.24173,104.836468,41080.0782,,0
1508 CIN 15-H   (ED),456,72,,,,,,,,,,,0,4,532,0.010607254,0,0,0,0,0,0,0,0,0,0,0.010607254,0.00244197, 0.41 ,41081 - 41324,41081.0782,243.1969891,41324.27519,,0
1509 CIN 15-I   (ED),258,39,,,,,,,,,,,0,2,299,0.005998425,0,0,0,0,0,0,0,0,0,0,0.005998425,0.001380939, 0.41 ,41325 - 41462,41325.27519,137.0939305,41462.36912,,0
1510 CIN 15-J   (ED),133,15,,,,,,,,,,,0,3,151,0.003115012,0,0,0,0,0,0,0,0,0,0,0.003115012,0.000717129, 0.42 ,41463 - 41534,41463.36912,70.71287126,41534.08199,,0
1601 CIN 16-A   (ED),171,30,,,,,,,,,,,0,3,204,0.00399509,0,0,0,0,0,0,0,0,0,0,0.00399509,0.000919738, 0.42 ,41535 - 41626,41535.08199,90.97375682,41626.05575,,0
1701 CIN 17-A   (ED),280,39,,,,,,,,,,,0,10,329,0.006600584,0,0,0,0,0,0,0,0,0,0,0.006600584,0.001519566, 0.42 ,41627 - 41778,41627.05575,150.9566417,41778.01239,,0
1702 CIN 17-B   (ED),318,32,,,,,,,,,,,0,7,357,0.007445922,0,0,0,0,0,0,0,0,0,0,0.007445922,0.001714178, 0.42 ,41779 - 41949,41779.01239,170.4177555,41949.43014,,0
1703 CIN 17-C   (ED),238,25,,,,,,,,,,,0,4,267,0.005558386,0,0,0,0,0,0,0,0,0,0,0.005558386,0.001279635, 0.42 ,41950 - 42077,41950.43014,126.9634878,42077.39363,,0
1801 CIN 18-A   (ED),173,26,,,,,,,,,,,0,6,205,0.00407615,0,0,0,0,0,0,0,0,0,0,0.00407615,0.000938399, 0.42 ,42078 - 42171,42078.39363,92.83989102,42171.23352,,0
1802 CIN 18-B   (ED),83,25,,,,,,,,,,,1,1,110,0.001945435,0,0,0,0,0,0,0,0,0,0,0.001945435,0.000447872, 0.42 ,42172 - 42216,42172.23352,43.78722071,42216.02074,,0
1901 CIN 19-A   (ED),204,148,,,,,,,,,,,0,5,357,0.004782528,0,0,0,0,0,0,0,0,0,0,0.004782528,0.001101019, 0.42 ,42217 - 42326,42217.02074,109.1019176,42326.12266,,0
1902 CIN 19-B   (ED),310,300,,,,,,,,,,,0,5,615,0.007237482,0,0,0,0,0,0,0,0,0,0,0.007237482,0.001666191, 0.42 ,42327 - 42493,42327.12266,165.6191247,42492.74179,,0
1903 CIN 19-C   (ED),178,144,,,,,,,,,,,0,4,326,0.00416879,0,0,0,0,0,0,0,0,0,0,0.00416879,0.000959726, 0.43 ,42494 - 42589,42493.74179,94.97261581,42588.7144,,0
1904 CIN 19-D   (ED),32,10,,,,,,,,,,,0,1,43,0.000752698,0,0,0,0,0,0,0,0,0,0,0.000752698,0.000173284, 0.43 ,42590 - 42606,42589.7144,16.32838897,42606.04279,,0
2001 CIN 20-A   (ED),157,65,,,,,,,,,,,0,2,224,0.003659271,0,0,0,0,0,0,0,0,0,0,0.003659271,0.000842426, 0.43 ,42607 - 42690,42607.04279,83.24262944,42690.28542,,0
