(Declared Winner)","NO
(Declared Loser)",UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,Over Votes,Under Votes,Total,"Error Bound (up) - 
Max. possible relative overstatement for
NO (Loser)",Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,"Selection - 
Batch picked for audit",Times p Drawn - With Replacement
Batch by Type (p),Winning Candidate,Losing Candidate,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Over Votes,Under Votes,Total,Error Bound (up) - Max. possible relative overstatement - Losing Candidate,Error Bound (up) - Max. possible relative overstatement - Candidate 3,Error Bound (up) - Max. possible relative overstatement - Candidate 4,Error Bound (up) - Max. possible relative overstatement - Candidate 5,Error Bound (up) - Max. possible relative overstatement - Candidate 6,Error Bound (up) - Max. possible relative overstatement - Candidate 7,Error Bound (up) - Max. possible relative overstatement - Candidate 8,Error Bound (up) - Max. possible relative overstatement - Candidate 9,Error Bound (up) - Max. possible relative overstatement - Candidate 10,Error Bound (up) - Max. possible relative overstatement - Candidate 11,Error Bound (up) - Max. possible relative overstatement - Candidate 12,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,Selection - Batch picked for audit,Times p Drawn - With Replacement
0903 CIN 9-C   (AV),91,18,,,,,,,,,,,0,0,109,0.002107555,0,0,0,0,0,0,0,0,0,0,0.002107555,0.000485195, 0.05 ,05407 - 05455,5406.990539,47.51948911,5454.510028,,0
0904 CIN 9-D   (AV),75,6,,,,,,,,,,,0,0,81,0.001736996,0,0,0,0,0,0,0,0,0,0,0.001736996,0.000399886, 0.05 ,05456 - 05494,5455.510028,38.98858992,5494.498618,,0
1001 CIN 10-A   (AV),114,10,,,,,,,,,,,0,1,125,0.002651813,0,0,0,0,0,0,0,0,0,0,0.002651813,0.000610492, 0.06 ,05495 - 05556,5495.498618,60.04924728,5555.547865,,0
1002 CIN 10-B   (AV),69,4,,,,,,,,,,,0,0,73,0.001598036,0,0,0,0,0,0,0,0,0,0,0.001598036,0.000367895, 0.06 ,05557 - 05592,5556.547865,35.78950273,5592.337368,,0
1003 CIN 10-C   (AV),102,8,,,,,,,,,,,0,0,110,0.002362314,0,0,0,0,0,0,0,0,0,0,0.002362314,0.000543845, 0.06 ,05593 - 05647,5593.337368,53.38448229,5646.72185,,0
1101 CIN 11-A   (AV),106,12,,,,,,,,,,,0,0,118,0.002454954,0,0,0,0,0,0,0,0,0,0,0.002454954,0.000565172, 0.06 ,05648 - 05703,5647.72185,55.51720709,5703.239057,,0
1102 CIN 11-B   (AV),67,4,,,,,,,,,,,0,0,71,0.001551716,0,0,0,0,0,0,0,0,0,0,0.001551716,0.000357231, 0.06 ,05704 - 05739,5704.239057,34.72314033,5738.962197,,0
1103 CIN 11-C   (AV),32,6,,,,,,,,,,,0,1,39,0.000752698,0,0,0,0,0,0,0,0,0,0,0.000752698,0.000173284, 0.06 ,05740 - 05756,5739.962197,16.32838897,5756.290586,,0
1104 CIN 11-D   (AV),80,4,,,,,,,,,,,0,0,84,0.001852795,0,0,0,0,0,0,0,0,0,0,0.001852795,0.000426545, 0.06 ,05757 - 05799,5757.290586,41.65449592,5798.945082,,0
1201 CIN 12-A   (AV),25,3,,,,,,,,,,,0,0,28,0.000578999,0,0,0,0,0,0,0,0,0,0,0.000578999,0.000133295, 0.06 ,05800 - 05812,5799.945082,12.32952997,5812.274612,,0
