GEOID,NAME,pop_totalE,whiteE,blackE,asianE,hispanicE,median_ageE,med_incomeE,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80plus,geometry
390610238001,Block Group 1; Census Tract 238; Hamilton County; Ohio,946,334,543,53,0,35.6,NA,22,0,303,189,99,0,133,159,41,"list(list(c(-84.400302, -84.400067, -84.399037, -84.393311, -84.393638, -84.394851, -84.399364, -84.400552, -84.400302, 39.196316, 39.198538, 39.198465, 39.197989, 39.194826, 39.194073, 39.19353, 39.193387, 39.196316)))"
390610026003,Block Group 3; Census Tract 26; Hamilton County; Ohio,1106,1050,19,9,47,21,68864,0,107,954,4,5,0,11,25,0,"list(list(c(-84.525456, -84.521979, -84.522325, -84.525809, -84.525456, 39.128306, 39.127994, 39.1249, 39.125099, 39.128306)))"
390610074002,Block Group 2; Census Tract 74; Hamilton County; Ohio,1612,1221,232,5,73,37.5,97045,147,74,344,304,420,221,68,30,4,"list(list(c(-84.540859, -84.536014, -84.53706, -84.539354, -84.539381, -84.539487, -84.540006, -84.540859, 39.165476, 39.165852, 39.159954, 39.158385, 39.160116, 39.161941, 39.163311, 39.165476)))"
390610212024,Block Group 4; Census Tract 212.02; Hamilton County; Ohio,1341,1175,166,0,0,43.6,108750,62,537,24,10,83,156,274,150,45,"list(list(c(-84.634451, -84.629672, -84.624936, -84.622196, -84.617343, -84.616356, -84.616578, -84.623255, -84.630988, -84.634848, -84.634451, 39.123775, 39.123464, 39.12317, 39.123663, 39.123563, 39.120774, 39.118852, 39.119309, 39.119821, 39.120054, 39.123775)))"
390610215096,Block Group 6; Census Tract 215.09; Hamilton County; Ohio,1059,622,392,0,46,52.2,132692,0,211,104,1,204,211,202,55,71,"list(list(c(-84.573555, -84.573194, -84.565829, -84.558512, -84.557192, -84.562148, -84.566281, -84.572909, -84.573653, -84.573555, 39.261294, 39.263735, 39.263556, 39.262921, 39.259619, 39.257847, 39.257823, 39.257933, 39.257809, 39.261294)))"
390610215094,Block Group 4; Census Tract 215.09; Hamilton County; Ohio,1709,255,770,0,0,10,54028,853,216,167,165,77,114,71,27,19,"list(list(c(-84.573766, -84.573536, -84.564827, -84.56268, -84.562222, -84.562036, -84.563864, -84.565076, -84.565105, -84.569071, -84.566746, -84.566869, -84.572966, -84.573957, -84.573766, 39.272091, 39.27511, 39.275028, 39.275017, 39.273684, 39.273098, 39.273104, 39.272377, 39.27207, 39.272095, 39.271665, 39.26954, 39.269591, 39.269479, 39.272091)))"
390610270002,Block Group 2; Census Tract 270; Hamilton County; Ohio,852,232,515,30,0,56.4,64053,43,12,137,65,108,126,43,233,85,"list(list(c(-84.501314, -84.500403, -84.498236, -84.493601, -84.496332, -84.496984, -84.498197, -84.4973, -84.495538, -84.496843, -84.497185, -84.501832, -84.501314, 39.132613, 39.14089, 39.140775, 39.140184, 39.136958, 39.133478, 39.130367, 39.129919, 39.129645, 39.127232, 39.126375, 39.126684, 39.132613)))"
390610207411,Block Group 1; Census Tract 207.41; Hamilton County; Ohio,1288,693,276,81,149,28,69583,184,358,125,207,116,147,133,8,10,"list(list(c(-84.593588, -84.590516, -84.586796, -84.583886, -84.584151, -84.591607, -84.592985, -84.593078, -84.593588, 39.250822, 39.25308, 39.250702, 39.249798, 39.246376, 39.24685, 39.2483, 39.250296, 39.250822)))"
390610100042,Block Group 2; Census Tract 100.04; Hamilton County; Ohio,2836,252,2322,0,0,29.2,39254,566,393,613,496,516,190,58,2,2,"list(list(c(-84.595607, -84.593226, -84.591929, -84.592134, -84.594323, -84.596331, -84.595607, 39.134326, 39.133033, 39.130794, 39.128761, 39.12778, 39.12792, 39.134326)))"
390610055003,Block Group 3; Census Tract 55; Hamilton County; Ohio,1884,1153,612,55,45,57.4,46875,58,0,441,287,75,116,301,338,268,"list(list(c(-84.422889, -84.405155, -84.403367, -84.403572, -84.395892, -84.395517, -84.396462, -84.398789, -84.408463, -84.416273, -84.420784, -84.422889, 39.165668, 39.164473, 39.163851, 39.16135, 39.160801, 39.158378, 39.157161, 39.157271, 39.156365, 39.160599, 39.164406, 39.165668)))"
390610209011,Block Group 1; Census Tract 209.01; Hamilton County; Ohio,1176,1000,129,15,37,41.5,58073,102,148,140,192,181,299,50,43,21,"list(list(c(-84.621203, -84.620596, -84.620552, -84.614689, -84.613977, -84.613977, -84.614751, -84.61739, -84.62001, -84.620938, -84.620665, -84.621203, 39.160517, 39.165486, 39.165865, 39.165572, 39.165518, 39.164963, 39.157158, 39.157792, 39.158207, 39.158164, 39.160226, 39.160517)))"
390610258002,Block Group 2; Census Tract 258; Hamilton County; Ohio,1200,1036,89,0,62,46.9,56667,70,59,168,98,260,244,120,88,93,"list(list(c(-84.495518, -84.494359, -84.493838, -84.492042, -84.483264, -84.483213, -84.48327, -84.48383, -84.489302, -84.489368, -84.489674, -84.490187, -84.494686, -84.494493, -84.495518, 39.162563, 39.164133, 39.166643, 39.169786, 39.168849, 39.168844, 39.168326, 39.163019, 39.163645, 39.162998, 39.160238, 39.160291, 39.160568, 39.162501, 39.162563)))"
390610207412,Block Group 2; Census Tract 207.41; Hamilton County; Ohio,990,336,638,0,8,38.6,54205,85,16,135,288,48,166,65,126,61,"list(list(c(-84.596752, -84.593588, -84.593078, -84.592985, -84.591607, -84.584151, -84.584285, -84.585265, -84.585933, -84.589296, -84.591658, -84.594494, -84.596752, 39.248524, 39.250822, 39.250296, 39.2483, 39.24685, 39.246376, 39.24465, 39.244696, 39.242491, 39.242039, 39.24291, 39.242532, 39.248524)))"
390610218011,Block Group 1; Census Tract 218.01; Hamilton County; Ohio,1504,361,1037,44,2,29.1,NA,409,174,201,170,2,140,260,88,60,"list(list(c(-84.549251, -84.549175, -84.540559, -84.539846, -84.536117, -84.533611, -84.531547, -84.532115, -84.531538, -84.534789, -84.534934, -84.537891, -84.538007, -84.538178, -84.542605, -84.542227, -84.549475, -84.549251, 39.220468, 39.22142, 39.220533, 39.224458, 39.223883, 39.223604, 39.223389, 39.217215, 39.216821, 39.217096, 39.215889, 39.216175, 39.214433, 39.21236, 39.212784, 39.217108, 39.217817, 39.220468)))"
390610264002,Block Group 2; Census Tract 264; Hamilton County; Ohio,518,212,190,0,0,17.2,36456,164,162,15,142,0,35,0,0,0,"list(list(c(-84.527469, -84.524314, -84.524016, -84.526739, -84.527609, -84.527469, 39.1136, 39.113402, 39.112226, 39.112433, 39.110652, 39.1136)))"
390610214211,Block Group 1; Census Tract 214.21; Hamilton County; Ohio,672,535,21,13,55,26.7,86108,214,58,96,99,48,62,39,36,20,"list(list(c(-84.615768, -84.610132, -84.605698, -84.603972, -84.601828, -84.602254, -84.602079, -84.60428, -84.606304, -84.609308, -84.612964, -84.615383, -84.615768, 39.094387, 39.095239, 39.095179, 39.094532, 39.094496, 39.090438, 39.089947, 39.089423, 39.090074, 39.09156, 39.093026, 39.09361, 39.094387)))"
390610240015,Block Group 5; Census Tract 240.01; Hamilton County; Ohio,1060,722,43,0,318,58.9,NA,196,42,82,83,50,125,239,234,9,"list(list(c(-84.388379, -84.386266, -84.379626, -84.371835, -84.375846, -84.376955, -84.378461, -84.380929, -84.380414, -84.380329, -84.385549, -84.386063, -84.385846, -84.385695, -84.388748, -84.388379, 39.207506, 39.207327, 39.206718, 39.205761, 39.197392, 39.196185, 39.195246, 39.194456, 39.198935, 39.199936, 39.200424, 39.200474, 39.202312, 39.203622, 39.204305, 39.207506)))"
390610056004,Block Group 4; Census Tract 56; Hamilton County; Ohio,1859,1023,534,0,49,29.2,81324,136,277,593,249,197,336,65,0,6,"list(list(c(-84.398026, -84.394336, -84.39348, -84.390566, -84.38503, -84.38529, -84.388271, -84.388705, -84.400954, -84.398026, 39.154823, 39.157217, 39.157347, 39.157775, 39.157384, 39.155117, 39.155315, 39.151416, 39.152298, 39.154823)))"
390610101002,Block Group 2; Census Tract 101; Hamilton County; Ohio,1071,674,84,21,248,38.9,71717,225,0,191,192,63,120,170,22,88,"list(list(c(-84.603498, -84.603249, -84.594943, -84.594181, -84.59076, -84.593914, -84.599567, -84.60396, -84.603498, 39.155166, 39.157045, 39.156665, 39.155952, 39.15343, 39.150459, 39.150541, 39.154729, 39.155166)))"
390610207643,Block Group 3; Census Tract 207.64; Hamilton County; Ohio,1375,1015,156,119,62,37.5,51186,254,189,115,191,199,62,216,149,0,"list(list(c(-84.599573, -84.589138, -84.584306, -84.583478, -84.586159, -84.590768, -84.594128, -84.595901, -84.59667, -84.59865, -84.599417, -84.599683, -84.599573, 39.21287, 39.212012, 39.211282, 39.207797, 39.20719, 39.207452, 39.208182, 39.209487, 39.208905, 39.210554, 39.211636, 39.212828, 39.21287)))"
390610038002,Block Group 2; Census Tract 38; Hamilton County; Ohio,888,102,765,0,69,53.5,NA,0,0,195,27,188,133,91,206,48,"list(list(c(-84.475476, -84.475275, -84.474942, -84.466413, -84.467038, -84.468478, -84.468303, -84.474444, -84.475602, -84.475476, 39.142113, 39.142787, 39.143524, 39.142847, 39.137055, 39.13716, 39.138812, 39.139036, 39.140011, 39.142113)))"
390610237021,Block Group 1; Census Tract 237.02; Hamilton County; Ohio,1056,1037,0,8,0,46.8,81732,69,80,130,131,123,125,274,96,28,"list(list(c(-84.396654, -84.394892, -84.385846, -84.386063, -84.388129, -84.388178, -84.389724, -84.389147, -84.393311, -84.399037, -84.396654, 39.201141, 39.203109, 39.202312, 39.200474, 39.200649, 39.199997, 39.200227, 39.197741, 39.197989, 39.198465, 39.201141)))"
390610064002,Block Group 2; Census Tract 64; Hamilton County; Ohio,714,59,612,0,0,60.2,22156,0,106,0,23,29,185,242,68,61,"list(list(c(-84.47383, -84.471993, -84.472044, -84.466806, -84.467114, -84.467596, -84.47423, -84.47383, 39.177681, 39.177678, 39.176077, 39.175978, 39.174836, 39.173112, 39.172904, 39.177681)))"
390610046022,Block Group 2; Census Tract 46.02; Hamilton County; Ohio,1425,912,309,0,251,29.1,30609,211,297,218,298,100,93,69,105,34,"list(list(c(-84.389839, -84.389792, -84.386345, -84.381406, -84.381808, -84.390459, -84.389839, 39.089915, 39.090306, 39.090083, 39.087733, 39.084386, 39.084941, 39.089915)))"
390610216021,Block Group 1; Census Tract 216.02; Hamilton County; Ohio,489,32,457,0,0,47.9,46912,108,0,82,0,56,104,58,67,14,"list(list(c(-84.535313, -84.534577, -84.533548, -84.529455, -84.529814, -84.530262, -84.532479, -84.533611, -84.536117, -84.535313, 39.231123, 39.23105, 39.231065, 39.232095, 39.228562, 39.224373, 39.225019, 39.223604, 39.223883, 39.231123)))"
390610230021,Block Group 1; Census Tract 230.02; Hamilton County; Ohio,723,642,36,0,45,39.1,123274,144,38,75,154,18,123,87,44,40,"list(list(c(-84.403691, -84.392935, -84.388973, -84.38774, -84.38816, -84.388608, -84.390111, -84.391978, -84.402278, -84.403666, -84.403691, 39.272653, 39.272414, 39.271907, 39.271073, 39.267272, 39.268986, 39.268213, 39.269169, 39.269724, 39.270722, 39.272653)))"
390610235221,Block Group 1; Census Tract 235.22; Hamilton County; Ohio,817,630,25,53,109,33.7,55333,152,122,16,215,44,44,77,101,46,"list(list(c(-84.390123, -84.381693, -84.380869, -84.379946, -84.376458, -84.375169, -84.376325, -84.377311, -84.383688, -84.383142, -84.383793, -84.383588, -84.39117, -84.390123, 39.240488, 39.245563, 39.246431, 39.251162, 39.25076, 39.250481, 39.238056, 39.228674, 39.229296, 39.234555, 39.234644, 39.236649, 39.237522, 39.240488)))"
390610225001,Block Group 1; Census Tract 225; Hamilton County; Ohio,415,274,141,0,0,32,61948,48,0,128,74,17,30,52,66,0,"list(list(c(-84.49489, -84.494723, -84.492895, -84.492774, -84.487, -84.482051, -84.478014, -84.478143, -84.47669, -84.471235, -84.469818, -84.475463, -84.483091, -84.487503, -84.495193, -84.49489, 39.271134, 39.272907, 39.273024, 39.274544, 39.273507, 39.274175, 39.273856, 39.272464, 39.272466, 39.266843, 39.265369, 39.265169, 39.264906, 39.266062, 39.267572, 39.271134)))"
390610240014,Block Group 4; Census Tract 240.01; Hamilton County; Ohio,555,479,0,0,51,36.8,98056,67,82,32,100,87,102,54,16,15,"list(list(c(-84.394851, -84.393638, -84.393311, -84.389147, -84.389724, -84.388178, -84.388129, -84.386063, -84.385549, -84.380329, -84.380414, -84.382039, -84.384687, -84.3859, -84.390215, -84.393858, -84.394851, 39.194073, 39.194826, 39.197989, 39.197741, 39.200227, 39.199997, 39.200649, 39.200474, 39.200424, 39.199936, 39.198935, 39.198357, 39.197413, 39.196984, 39.19547, 39.194249, 39.194073)))"
390610053013,Block Group 3; Census Tract 53.01; Hamilton County; Ohio,973,805,49,13,44,31.3,136250,82,19,317,296,83,13,141,22,0,"list(list(c(-84.433139, -84.430562, -84.429144, -84.426451, -84.429752, -84.432854, -84.432226, -84.433342, -84.433139, 39.152684, 39.154246, 39.153699, 39.149837, 39.146186, 39.144607, 39.151506, 39.152516, 39.152684)))"
390610082012,Block Group 2; Census Tract 82.01; Hamilton County; Ohio,2134,443,1601,0,61,38.7,51786,248,250,312,265,170,346,310,138,95,"list(list(c(-84.550392, -84.549987, -84.547725, -84.538457, -84.53871, -84.535787, -84.534683, -84.5358, -84.540571, -84.542442, -84.542086, -84.541652, -84.550137, -84.550392, 39.203201, 39.207281, 39.206308, 39.205362, 39.202483, 39.202305, 39.202231, 39.193378, 39.19491, 39.195066, 39.1983, 39.202648, 39.203173, 39.203201)))"
